cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('家用.0') 家庭中的生活費用。 二、三十年前的職業婦女，大都做基層工作，收入能貼補<家用>也就心滿意足了。
cwn.Synset('見長.2') 生物較之前明顯長高或長大。 才短短一個月，小狗<見長>不少。
cwn.Synset('露營.0') 在野外搭帳蓬過夜的休閒活動。 豪大雨過後，避免從事溯溪、<露營>等活動。
cwn.Synset('刑事.0') 屬於刑法範圍的法律事件。 應該簡化司法裁判，最可能的做法是，<刑事>判決書的理由部分將予以刪除，這是比較可行的方式。
cwn.Synset('個性.0') 形容特定對象的外型風格獨特。 他女兒雖然打扮的很<個性>，但是明顯沒大腦。
cwn.Synset('可惜.0') 形容未達成特定目的而感到不捨。 蘇有朋並不認為自己會對以前後悔或<可惜>，但如果能重來，他覺得最想把握的是吸收知識的機會。
cwn.Synset('一無所知.0') 完全沒有訊息或知識。 保固公司發言人表示，有關證管會的決定迄昨<一無所知>。
cwn.Synset('天天.0') 表每一天。 弟弟在荒地裡撒下水仙花種子，<天天>澆水。
cwn.Synset('患者.0') 生病、接受醫療服務的人。 治療前的牙齒檢查，對早、中期的<患者>是必要的。
cwn.Synset('美容.0') 藉由修飾或護理使容貌或身材變美麗的護理過程。 一月十三日星期日舉辦<美容>發表會敬請把握良機，前往參觀選購。
cwn.Synset('嶺.0') 專指位於湖南、江西與廣東交界處的五座山。 士卒大疫，兵不能隃<嶺>。
cwn.Synset('嶼.0') 在海中或湖中被水包圍且面積比島小的陸地。 在雙<嶼>的右側，其實還有一小<嶼>，只是一般遊客沒有注意到而已。
cwn.Synset('子貢.0') 春秋時代孔子弟子，姓端木，名賜，字子貢。 有一次，孔子問子路、<子貢>、顏淵三人各自的本事為何？
cwn.Synset('邊政.1') 研究政府對邊疆所執行的各項管理措施的知識。 畢業後她又考進了<邊政>研究所(現改名為民族研究所)，另一個培養氣質的好地方。
cwn.Synset('助陣.0') 助長聲勢。 他既然出手應戰，別人是不能率爾插手<助陣>的。
cwn.Synset('競爭.0') 在有限的總利益中，為了得到自己的最大利益而與他人爭奪的行為。 在這場<競爭>中，山西商人長久地處於領先地位。
cwn.Synset('整.2') 時間或金額剛好達到特定整數。 舞會入場券方面，今年打算每張售九十元<整>。
cwn.Synset('整.3') 將事物弄成有秩序、美觀的樣子，多指儀容外表。 這還不簡單，去找個整容師<整>一<整>嘛！
cwn.Synset('跑來跑去.0') 在特定範圍內不停地來回跑。 小猴子<跑來跑去>，爬上爬下，一會也不停。
cwn.Synset('膨脹.0') 比喻使特定事件超過正常情況不適當地發展。 這些公營事業如不斷擴大營業範圍並<膨脹>資本額，會使民營化作業更為困難，政府必須嚴格節制。
cwn.Synset('混合林.0') 森林類型之一，由二種以上的樹種所組成的樹林地區。 此地的低海拔森林演化的進程在自然的狀態下到最後會成為樟楠<混合林>。
cwn.Synset('顏色.2') 比喻牽涉色情的後述對象。 想起上個月有本書還被老弟挖出來，被打小報告說你看有<顏色>的書。
cwn.Synset('屆滿.0') 任期或其他規定時段結束。 各級學校校長任期<屆滿>得回任教職。
cwn.Synset('病友.0') 住在同一個醫療機構的病人。 國軍八一八醫院以及職能工作坊等十一個機構，除了<病友>外，機構內醫療人員和病患家屬也一起參與同歡。
cwn.Synset('國產.0') 形容說話者所屬的國家所出產的。 最近一年，<國產>汽車更重視流程改善。
cwn.Synset('岳飛.0') 中國南宋時期著名將領，字鵬舉，諡武穆。 <岳飛>果然因為鋒芒太露，而遭到秦檜嫉妒，進讒言將岳飛逮捕下獄。
cwn.Synset('境地.1') 比喻特定作品達到的成熟程度。 佛是理智、情感和能力都同時達到最圓滿<境地>的人格。
cwn.Synset('婚外.0') 形容與已婚者在婚姻關係之外所發展性關係相關的。 這本關於<婚外>情的書，讓你看穿你最想知道的謊言，讓你明白你最該認清的事實。
cwn.Synset('通體.0') 表包含事件的全部。 擔任社區管理委員，為您居住的社區做<通體>把關。
cwn.Synset('通體.1') 表整個身體的內部。 凜冽的寒風中，熱呼呼的溫泉水灑在身上，真是<通體>舒暢。
cwn.Synset('極區.0') 地球的南極地區、北極地區。 有些魚種，可能由於低緯度海水溫度的升高，而遷移至較冷的<極區>。
cwn.Synset('初賽.0') 競賽中第一輪的比賽。 錦標賽的選手蠅量級的鄭紹宏在<初賽>時遭淘汰。
cwn.Synset('經濟部.0') 掌理國家經濟建設及經濟行政事務的政府機構。 能源方面除了備受矚目的核四廠之外，<經濟部>也在會中報告台中火力電廠。
cwn.Synset('基金會.1') 由特定對象捐贈資金，為特定公益目的成立的非營利法人機構。 人本<基金會>的教育諮詢專線和教育遊說團全由義工主導。
cwn.Synset('分派.0') 由原來的組織所分出的不同派系。 禪宗之南北<分派>，早在「南能北秀」之前即已存在。
cwn.Synset('研討.0') 針對特定議題研究並討論。 最近我請人到大陸<研討>中醫學，讓有志於中醫醫學的年輕人，到大陸研究中醫。
cwn.Synset('女子.0') 形容專門給女子參加的。 全國足球會<女子>甲組足球協會錦標賽昨天冒著陰雨，在士林百齡球場開踢。
cwn.Synset('熟.0') 形容因為經常進行後述事件而有充分的知識。 思東，你搬來已經兩個多月了，附近的路，你都<熟>了吧？
cwn.Synset('熊.0') 哺乳類動物，體型大，四肢粗短，用腳掌走路，有冬眠習慣。 比起<熊>，分布密林的虎神出鬼沒，行動更迅捷靈活。
cwn.Synset('情況.0') 人的生理、心理或生活狀態。 多吃一點，可以幫助改善你的<情況>。
cwn.Synset('吃土.0') 形容極度貧窮的狀況。 這個月盤纏已用盡，要準備<吃土>了。
cwn.Synset('熄.0') 使交通工具的引擎停止運轉。 他把摩托車<熄>了火，車鑰匙拔起來。
cwn.Synset('熱.1') 形容比喻很多人使用或喜歡的。 「WorldWideWeb」未來會比電子佈告欄更「<熱>」。
cwn.Synset('熱.9') 形容食材或藥材會使身體陽氣亢盛的。 哪些水果屬性涼，哪些水果屬性<熱>？
cwn.Synset('啟智.0') 形容針對智能障礙者的。 一項別開生面的智障兒音樂治療教室，由中縣<啟智>協會主辦。
cwn.Synset('首飾.0') 泛指身上佩戴的裝飾品。 項鍊、耳環、手鍊、戒指等等都是深受女孩子歡迎的<首飾>。
cwn.Synset('熬.0') 將食材或藥材以小火慢煮，使多餘的水分蒸發，以萃取其味道或有效成分。 青靄色裊裊騰騰的炊煙是村婦們忙著<熬>米粥的信號。
cwn.Synset('臺北縣.0') 環繞臺北市的縣。 我們從<臺北縣>的烏來入山，順著彎曲的山路前進。
cwn.Synset('服飾.0') 衣服和身上配戴之裝飾品(如圍巾、項鍊、鞋包等)的總稱。 百貨公司櫥窗中展示的流行<服飾>往往可以吸引往來行人的目光。
cwn.Synset('貝爾.0') 十九、二十世紀美國發明家，發明電話。 美國發明家<貝爾>出生在英國，二十四歲才來到美國。
cwn.Synset('該.0') 指前述談話內容中已提過的對象。 各級學校校長應具備<該>級學校教師資格，校長任期屆滿得回任教職。
cwn.Synset('詳.0') 以文字媒介明確提供後述訊息。 古史所<詳>，事有紛互，今故推其梗概，求者知其指歸。
cwn.Synset('詳.1') 表做事周密，不遺漏小細節。 其他七人都坦承涉案，並對圍毆劉翔宇及棄屍的過程描述甚<詳>。
cwn.Synset('管弦.0') 「管樂和弦樂」的簡省。 本年度的慈善音樂晚會---「仁心播愛心<管弦>夜」，將於2004年7月4日假沙田大會堂演奏廳舉行。
cwn.Synset('試.1') 以言語或行為引起他人的反應，藉以了解他人的意圖。 她認為黃楚明一直在拿話<試>她，所以自己處境越來越危險。
cwn.Synset('詩.0') 以有節奏韻律的文字創作出的作品。 對此他是感觸良深難以忘懷的。他的兩首<詩>深刻地道出了他的心境。
cwn.Synset('分出.1') 將特定空間原本的使用暫停以進行後述目的。 偌大的房子是否有一天會被要求<分出>一間或兩間來安置那些人。
cwn.Synset('評.0') 對特定對象的是非好壞，提出看法或意見。 當你準備要論時且<評>天下事時，面臨的挑戰是：你開發了自己嗎？
cwn.Synset('不再.0') 形容前述狀態已改變而不存在。 當虛榮逝去，繁華<不再>，我們看到百孔千瘡的城市裡，這個女人仍在情欲堆中打滾。
cwn.Synset('何必.0') 表說話者認為沒有做後述事件的必要。 他認為這些問題太玄，談不出結論，<何必>多費口舌，浪費時間去討論呢﹖
cwn.Synset('詞.3') 一種詩歌體裁，興於唐，盛於宋，由古樂府演變而來，每句字數長短不一，可入樂。 <詞>比律詩更適於詠唱，更具有音樂性。
cwn.Synset('海鳥.0') 生活在海洋沿岸，以海洋生物為主食的鳥。 翱翔的<海鳥>，躍起的魚群，使你無時無刻不感到同生物界的聯繫。
cwn.Synset('反映出.1') 物體的影像藉光線投射到平面上，強調呈現的結果。 水的暗面中出現亮的藍，<反映出>天光。
cwn.Synset('長.0') 前述對象造成了有利於後述對象生長或活動的環境。 我的玫瑰<長>蟲了。
cwn.Synset('建議.0') 對特定主題所提出的意見或辦法。 李先生的<建議>很好，我同意你的看法。
cwn.Synset('預報.0') 在事情發生前，做事先通告。 今天學校已經透過各大社團，<預報>下學期將舉辦的各種活動。
cwn.Synset('拿出來.0') 手或手持物取得特定物品，將物品從參考位置的裡面移到參考位置的外面。 請小朋友和家長別將垃圾<拿出來>，以免影響市容觀瞻。
cwn.Synset('達文西.0') 十五世紀義大利藝術家、建築家及科學家，為義大利文藝復興三大藝術巨匠之一，畫有「蒙娜麗莎的微笑」等。 <達文西>和米開蘭基羅、拉斐爾並稱義大利文藝復興三傑。
cwn.Synset('榮.1') 對符合特定規定的退役職業軍人的尊稱。 雲林<榮>家人瑞葉阿清老先生日前歡度101歲壽誕。
cwn.Synset('榨.1') 比喻以特定手段從特定對象取得大量好處。 老師可能要在國威畢業之前趕快好好<榨>他一下。
cwn.Synset('二氧化碳.0') 空氣中常見的無機化合物，分子式為CO2。 植物行光合作用時吸入<二氧化碳>，釋出氧氣。
cwn.Synset('榕.0') 植物名，桑科，常綠喬木，分枝極多，覆蓋面廣，園藝上常作盆栽以觀賞。 院子裡的大葉雀<榕>已經長出綠綠的果子。
cwn.Synset('人造.0') 形容經由美容整形手術的。 曾幾何時，「<人造>美麗」開始成為時尚和美容界最炙手可熱的名詞。
cwn.Synset('事先.0') 表事情發生或處理之前。 辦桌宴席有時多達兩百桌，湯菜可以<事先>準備，免去臨場熱炒的忙亂。
cwn.Synset('一一.0') 表一個接一個沒有間斷。 隨著時間慢慢逝去，影像<一一>在我們眼前跳過，我卻陷入沈思之中。
cwn.Synset('時時.0') 表事件不斷地重複發生，且間隔不長。 每個人都表情不悅，<時時>從窗口伸出頭，等待皇室的坐車通過。
cwn.Synset('為什麼.0') 事件的原因或理由，表疑問之意。 我有十萬個<為什麼>，但是沒人能解答。
cwn.Synset('第.0') 表示次序，置於正整數前。 社團中傳言「蘇菲亞」一名的由來，為<第>一任社長女朋友的名字。
cwn.Synset('山羊.0') 哺乳類動物，偶蹄，額頭有一對角，善於跳躍。 台灣長鬃<山羊>就是俗稱的<山羊>，常出現於裸露岩石及崩坍處。
cwn.Synset('不經意.0') 表在沒有特別注意的狀況下發生。 父母親<不經意>的一點點偏心，會造成多麼大的傷害。
cwn.Synset('豈止.1') 連接兩個以上程度漸進且超過預期的選項。 李慶華的為賦新詞強說愁<豈止>風涼話而已？簡直就是得了便宜還賣乖。
cwn.Synset('襪.2') 穿在腳上，用柔軟的紡織品製成的衣物，通常用來保護或保暖腳部。 脫下鞋跟<襪>下水玩耍，沁涼的水凍入整個腳底，超舒服的啦!
cwn.Synset('重任.0') 重大的責任。 國王捲款而逃後，大臣歐牙馬就負起國家<重任>。
cwn.Synset('重任.1') 重要的任務。 這是一項<重任>，你好好表現吧！
cwn.Synset('東德.0') 國名，柏林圍牆以西的國家，在西元1949年獨立，已於西元1990年與西德統一成為現在的德國。 實施共產主義的<東德>，數十年來修復腳步十分慢。
cwn.Synset('引以為怒.0') 因前述事件而感到憤怒。 何必與他爭一時之勝負呢？況且，他的不當作風既然人人<引以為怒>，就時時以他作為警惕自我的標竿，好讓自己不重蹈覆轍。
cwn.Synset('推動.0') 對特定物體施力，使其前進。 水可以儲存能量，因此我們能利用不同高度水的位能差產生動力來<推動>船前進。
cwn.Synset('城隍爺.0') 守護人民生命與財產安全，掌管陰、陽兩界賞罰的神。 <城隍爺>在中元普渡出巡主要是賑孤，撫慰游離在外的孤魂野鬼。
cwn.Synset('明確.0') 形容比喻動作執行得清楚流暢。 空中動作的難度較高，因為空中的動作必須符合優美、<明確>、謹慎等美感。
cwn.Synset('已知.0') 已經知道的情形。 知道的越多，應該是探索未知的能力越強，而不是自己認知的框框越牢固。如果被限制在<已知>之中，那就太可悲了。
cwn.Synset('台北市.0') 位於臺灣北部，為臺灣政治、經濟中心。 我們那一帶是<台北市>典型的文教區，附近有許多占地極大的平房。
cwn.Synset('怎不.0') 表說話者的態度很堅定。 淡水重建街上的老街屋也所剩無幾，<怎不>令人痛心惋惜？
cwn.Synset('熱情.0') 表情緒熱烈高於一般的程度。 他<熱情>招呼來寄住的旅客，讓他們感受最大的溫暖。
cwn.Synset('器.0') 為測量特定對象所設計的裝置。 由淡江資訊工程研究所展出的虛擬實境飛行模擬<器>受到軍方的囑目。
cwn.Synset('噫.1') 因腹脹，而使胃氣上升並發出聲音。 飲食不下，鬲咽不通，食則嘔，腹脹善<噫>。
cwn.Synset('噯.0') 表不同意或否定的語氣。 <噯>！話可不是這麼說。
cwn.Synset('噴.2') 流體或粉末等受壓力從特定對象中快速射出。 參賽的學生拚命扯開拉環，一手叉腰，將啤酒往肚裡灌，有人承受不住，啤酒<噴>了出來，便被取消比賽資格。
cwn.Synset('噸.4') 車、船載貨容積的單位，一噸等於四十立方英呎。 外國船舶及外商租用中國船舶，仍徵<噸>稅。
cwn.Synset('花蓮縣.0') 位於臺灣東部，介於宜蘭縣和臺東縣之間的縣。 希望便當業者不要任意漲價，加速<花蓮縣>的物價波動。
cwn.Synset('遠東.0') 亞洲東部地區。 政府期望將中正機場擴展為<遠東>地區的轉運中心。
cwn.Synset('令郎.0') 代指聽話者的兒子。 <令郎>是位很優秀的人。
cwn.Synset('牡羊座.0') 星座名，由六顆小星組成，形狀像羊，其中最亮的兩顆是羊角。 <牡羊座>是在十二月黃昏時刻，可在頭上偏南方向看見的星座。
cwn.Synset('畫面.0') 圖案、螢幕等所呈現出的平面影像。 他的筆觸與色調很成功地將詩意的憂愁渲染到整個<畫面>。
cwn.Synset('排灣族.1') 臺灣地區原住民之一，分佈於中央山脈南端及東部海岸山脈南端，以大武山為發源地。 屏東縣來義鄉<排灣族>部落居民對自己傳統文化很自豪。
cwn.Synset('打下.3') 比喻用類似手臂的人造物尾端裝置快擊物體表面，演奏打擊樂器。 織布是一針針<打下>，就好比繪圖是一點點畫出，是屬於影像處理的應用領域。
cwn.Synset('招致.0') 招收、網羅。 人主欲得善射，射遠中微者，縣貴爵重賞以<招致>之。
cwn.Synset('強調.0') 特別注重後述對象。 儒家談及人時，並未<強調>是男或女，只有「人」的觀念。
cwn.Synset('打交道.1') 為特定目的與前述對象進行言語或文字的互動。 學生當中生意人最多，因為加州華人密集，他們想和華人<打交道>。
cwn.Synset('續集.0') 接續已完成作品的情節內容而產生的新作品。 他有意在拍完監獄風雲<續集>片之後，嚐試唯美、浪漫的藝術電影。
cwn.Synset('用處.0') 特定事物所預期發揮的功能。 你別小看這些紅線，<用處>可大了！
cwn.Synset('突然.0') 形容事件的發生令人感到意外。 駝隊走到風火山上時，天<突然>下起了大雪。
cwn.Synset('成家.0') 在學術、文藝上的成就能自成派別。 整個的一套教育、思想，是要自己成名<成家>，自己發現什麼偉大的東西。
cwn.Synset('成家.1') 組成家庭，主事者為男子。 他也一度有意<成家>，後來也不了了之。
cwn.Synset('最好.0') 表說話者主觀考量後的建議。 吃完東西<最好>是稍微走一走，幫助消化。
cwn.Synset('抨擊.0') 強烈批評特定對象的言語或文字。 一直主張行館應對外開放的她，趁機提出<抨擊>。
cwn.Synset('排出.0') 依照特定原則，安排特定事件的進行。 該小組的時間表已<排出>。
cwn.Synset('排出.1') 依照特定方式排列特定對象，使其成為後述圖案。 下月市府廣場將<排出>「希望大樹」圖形，締造全球最多對雙胞胎集合的金氏世界紀錄，並建立台灣雙胞胎最特別的紀錄。
cwn.Synset('權責.0') 職權和責任。 廣義的勞工教育，是屬於各級政府的<權責>。
cwn.Synset('甘心.0') 願意做後述事件，並接受其結果。 我說：「把傘打開吧。」她才不<甘心>地開了傘。
cwn.Synset('孟姜女.0') 秦朝為丈夫哭倒長城的女子。 <孟姜女>每一想到在邊遠地區受苦的丈夫，就傷心流淚。
cwn.Synset('傳播.0') 由專業人員透過報紙、廣播、電視等媒介，對大眾傳遞消息、知識的過程。 你可曾思考過，我們現代人一天要接觸多少<傳播>的活動？
cwn.Synset('杜鵑.0') 鵑形目，口大尾羽長，嘴黑色，上嘴末端稍曲，身體灰褐色，尾巴有白色橫斑，胸腹部有黑色橫條紋，初夏時常晝夜不停地叫。 人們把那隻鳥稱為杜宇，又叫<杜鵑>，也把墳地上那些白花和紅花稱為杜鵑花。
cwn.Synset('流傳.0') 風俗、文化等在時間上流行、傳布下來。 我國的好風俗，<流傳>了幾千年。
cwn.Synset('之初.0') 事件的開始階段。 誕生<之初>，手上握有一支紅色的曼陀羅。曼陀羅燒著赤紅的焰火。
cwn.Synset('前者.0') 代指並舉的兩種對象中次序在先的那一個。 社會所定義的標準有客觀與主觀兩方面，<前者>是金錢、家世、外表、見識。
cwn.Synset('坦承.0') 坦白承認後述事件。 行政院勞工委員會官員<坦承>，現行勞工法令無從規範「怠工」問題。
cwn.Synset('肚子.1') 比喻人知識所在的地方。 <肚子>裡的學問不是用裝的就裝的出來。
cwn.Synset('肚子.4') 物體形狀像肚子的部份。 他一時間胸腔一抽一抽的，腦袋一墜一墜的，腿<肚子>一沉一沉的。
cwn.Synset('財務.0') 大學中教授財務知識的教學研究單位。財務系所的簡省。 念<財務>的老師都建議要去美國唸。
cwn.Synset('同志.1') 為共同理想，事業而奮鬥的人。 小華找到喜歡飛機的<同志>了。
cwn.Synset('薄.4') 形容情感或意志力不強的。 珍妮佛嘉納人紅卻情<薄>，剛在好萊塢影壇闖出一點名堂，但也驚爆鬧婚變。
cwn.Synset('太甚.0') 表超過適當程度很多，通常帶有負面涵義。 脊椎之前方有很多重要構造，若向前壓迫<太甚>，則影響其通暢。
cwn.Synset('公斤.0') 計算重量的單位，公制一公斤等於一千公克。 吳佩雯瘦了足足十多<公斤>，只剩下皮包骨。
cwn.Synset('噓.0') 表示反對。 大家都<噓>他，沒有人覺得他是對的。
cwn.Synset('今天.0') 說話者所在的時間參考點的那一天。 <今天>我們是不是第一次見面呢？
cwn.Synset('改行.0') 放棄原來的職業，去從事新的職業。 後來，筆者辭去教職，<改行>營商，賣學校用品。
cwn.Synset('改行.1') 放棄原有的制度，實施新的制度。 於是爺爺首先提出，由元首制<改行>內閣制度。由他提名，家庭全體會議通過。
cwn.Synset('大量.1') 表數量的規模很大。 兩個半世紀以前，泉漳人士<大量>移民臺灣。
cwn.Synset('薦.0') 以草製成的席子。 五月五日更是惡日之尤，除了忌「曝床<薦>席」外，甚至有「不舉五月子」的諺語。
cwn.Synset('軟片.0') 尚未使用過，可供紀錄影像的感光材料。 就感光度而言，以選擇中低感度<軟片>為主。
cwn.Synset('曬乾.0') 利用太陽光的的熱度去除物品內的水分使其乾燥。 他總認為新鮮的中草藥，一般藥效要比<曬乾>的好。
cwn.Synset('養分.1') 特定物質中可提供食用對象營養，增加機能的成分。 母親懷胎十月，母子之間藉著臍帶帶來輸送<養分>、維繫著小生命的成長。
cwn.Synset('平淡.0') 形容生活或情緒沒有起伏變化。 他喜歡過平淡的生活，不想要有太多挑戰。
cwn.Synset('中外.1') 臺灣和臺灣以外的國家。 阿里山先以吳鳳神話而人盡皆知，後以阿里山姑娘一歌享譽<中外>。
cwn.Synset('嘰哩.0') 未詞彙化的擬聲詞用法。 有人的手機突然<嘰哩><嘰哩>的叫起來了，有點像小鳥的啾啾聲。
cwn.Synset('嘰哩.1') 模擬不易聽懂的說話聲。 街上遇一老美問路，我<嘰哩>哇啦就是亂講一通。
cwn.Synset('嘰哩.2') 模擬肚子餓時所發出的聲音。 <嘰哩><嘰哩>，現在肚子有點餓。
cwn.Synset('全力.0') 表投入所有的力量，毫無保留。 這場比賽日本隊逮住機會，球員紛紛<全力>發揮締造個人打擊紀錄。
cwn.Synset('攪在一起.0') 形容比喻無法釐清兩件或兩件以上的事情之間的關係。 這是兩件事，別<攪在一起>。
cwn.Synset('靠邊.0') 表對特定事件表達特定立場。 相較於政治派系的<靠邊>站的氣氛，各種改革政策的研究、制訂、出台和執行，竟變得不再重要了。
cwn.Synset('無所適從.0') 因選擇太多而找不到可依循的標準。 現在這個時代，太多荒謬難解的現象，令人<無所適從>。
cwn.Synset('化學.0') 一門研究物質的性質、組成、結構、以及變化規律的基礎自然科學。 <化學>與日常生活息息相關。
cwn.Synset('天氣.0') 特定區域長期的大氣平均狀況。 中國的河沒有美國的那麼長，中國的<天氣>跟美國的差不多一樣。
cwn.Synset('先生.5') 遵守道教戒律並熟悉各種道教儀式的男性修行人。 此人，姓樊，名瑞，祖貫濮州人氏，幼年作全真<先生>，江湖上學得一身好武藝。
cwn.Synset('紅樹林.1') 森林類型之一，生長在熱帶或亞熱帶沿海河口沼澤地的樹林地區。 台灣原有種<紅樹林>，在其它種相繼絕種後，淡水地區的<紅樹林>更顯得珍貴。
cwn.Synset('低調.3') 形容聲量小，音調低，讓他人不容易聽到。 為了不打擾到教室內其他同學，他們<低調>討論畢展事情。
cwn.Synset('淹沒.2') 人才或天份沒有得到發揮。 誰說非得用低學費來浪費資源、來<淹沒>天分、誤導才能、來滿足面子。
cwn.Synset('淹沒.3') 形容沈溺而迷失的狀態。 對啊！掌聲愈多愈容易迷失人生方向，<淹沒>自己。
cwn.Synset('面目.1') 前述人或團體經過掩飾的本質。 必須透過自己去覺醒、去發現自己的本來<面目>，所以禪宗採用許多公案，經由修行者去參究。
cwn.Synset('實踐.0') 實踐大學的建築物及建築物所在的位置。 我現在住在<實踐>附近。
cwn.Synset('實踐.1') 臺灣私立大學之一，位於臺北市中山區。 至於學校呢、我想還是<實踐>和東海稍好、仍持保留態度。
cwn.Synset('巴格達.2') 伊拉克的首都，位於底格里斯河與其支流狄牙拉河的交會處。 這場戰爭的結局將是美軍攻占<巴格達>。
cwn.Synset('球員.0') 從事球類運動的運動員。 南半球酷熱難耐，使得參加澳洲網球公開賽的各國<球員>心浮氣躁。
cwn.Synset('子女.0') 兒子和女兒。 做父母的常用這句話來教訓他們的<子女>：金鑰匙，沒處找，鐵鋤頭，就是寶。
cwn.Synset('廢料.0') 失去原有使用價值的材料。 benthos公司推出新型機器人，可用來清除毒性<廢料>或檢查核能電場運作情形。
cwn.Synset('犯.5') 越過本身應有的範圍，而侵占到後述對象的權益。 我們的憲政改革工作目前有隱憂，即是臺獨主張，這將給中共藉口，製造<犯>臺行動。
cwn.Synset('有一手.0') 形容互相牽連的關係，常指男女之間不正當的關係。 他們二人常常背著另一半約會，這中間一定<有一手>。
cwn.Synset('計有.1') 後接各項列舉項目。 參加的國家<計有>韓國、日本、美國、蘇聯、菲律賓、西班牙等。
cwn.Synset('人民公社.0') 中國農村實行的政社合一的組織形式(1958~1984)。 <人民公社>的制度模式是按毛澤東和其他中共領導人的構想設立的。
cwn.Synset('筋.2') 白色帶狀的結締組織，質堅韌而富彈性，有連接骨骼，並有固定器官位置的功能。 皇馬方面已經証實，羅納爾多是腿<筋>拉傷，將有兩周時間無法上場。
cwn.Synset('筍.3') 竹類地下莖所生的嫩芽，可食用。 牠的食性，正如人們所知道的是素食，只吃竹和<筍>。
cwn.Synset('騰.1') 比喻為了保留給特定對象使用而不用或停止使用後述對象。 我有二台300D，所以可以<騰>一台出來。
cwn.Synset('騰.2') 腳踏地，藉其所產生的反作用力，使身體離地並移動。 他說著，像跳水運動員一樣在樹冠上單腿<騰>跳。
cwn.Synset('筆.0') 可用來書寫文字、畫出圖案的工具。 到了合肥，他便興致勃勃地揮<筆>題詞：「沿途一望，生氣勃勃，肯定是有希望的。」
cwn.Synset('確實.0') 形容符合事實的。 向善的道理是<確實>可信的。
cwn.Synset('成份.0') 構成特定對象的內容的一部份。 他的動機中仍有很大的作秀<成份>。
cwn.Synset('清晨.0') 天亮前後的時間。 經消防人員全力搶救下，在廿分鐘後將火勢控制，至<清晨>五時四十分許全部撲滅。
cwn.Synset('答.0') 模擬水滴落的聲音。 屋裡漏水滴滴<答><答>，誰能幫幫我？
cwn.Synset('答.2') 模模擬喇叭所發出的短音。 喇叭滴<答>滴滴<答>，看大家多麼樂洋洋。
cwn.Synset('答.3') 模模擬鐘錶運轉的聲音。 時鐘滴<答>滴，滴<答>滴，時鐘最勤勞，日夜不休息。
cwn.Synset('殿堂.1') 比喻受眾人所尊崇的領域或機構。 時代啟發了他，在科學的<殿堂>裡，他不承認有神。
cwn.Synset('騙.1') 用言語或其他方法使特定對象相信主事者要其相信的事。 這輛平板卡車上放置了某些特殊的裝置，<騙>過了美國飛機的轟炸。
cwn.Synset('犢.0') 以犢為形象製成的人造物。 那些金銀珠寶他看都沒認真看，只是抱起那玉<犢>就往外走。
cwn.Synset('金融.0') 研究貨幣資金在市場上流通的經濟活動的知識。 筆試扮演極重要的角色，通常國文、英文、<金融>實務及智力測驗為共同科目。
cwn.Synset('效果.0') 特定演出時為配合需要而製造的特殊聲光或表演。 沒有炫麗的燈光做<效果>，但那力與美、人與自然的結合，卻讓我最有感覺且震撼人心。
cwn.Synset('相反地.0') 表與共同預設不同。 對於工研院目前的成績，我們從不敢自滿。<相反地>，我們更加努力。
cwn.Synset('挺身而出.0') 比喻勇於面對危險或承擔責任。 那時候位於中國南端的合州，盜匪很多。陳文玉就<挺身而出>，招集本地青年，組成義勇隊。
cwn.Synset('法規.0') 立法機關制定實施法律的規章。 建築<法規>的制定是租界的市政建設以及建築得以順利發展的關鍵因素。
cwn.Synset('忠於.0') 完全呈現後述對象的重要特質，而沒有偏離。 它的內部裝潢幾乎未被刻意設計裝修過，所以絕對<忠於>原有蒸汽火車的「味道」。
cwn.Synset('公告周知.0') 公布讓大家知道。 基層特考停辦，後年要不要辦，將會在需要舉辦的一年前<公告周知>，以利考生準備。
cwn.Synset('南區.0') 位於南邊的相關機構。 工研院設<南區>分院的方案，將在六月底前提出評估。
cwn.Synset('惜.0') 重視並愛惜特定對象。 我們應該<惜>緣。
cwn.Synset('違背.0') 不遵守後述規定或不履行承諾。 中國傳統重視家庭觀念，若是<違背>這點，中國可能陷於四分五裂。
cwn.Synset('情.0') 面對特定情況時，社會所能認同、接受的心理表現。 我覺得我們的社會較偏重<情>而不重理性，而且不遵守法律。
cwn.Synset('白.1') 形容色譜上最明亮，可以反射所有光線的。 她在<白>霧冉冉的魔沼中幽幽徘徊，兩眼發直。
cwn.Synset('白.6') 形容比喻正當團體，不屬於黑道的。 他們真實的身分我杜撰一個名字就是灰幫，不黑也不<白>，他們吃灰錢，用灰色的手段搜括來這麼一筆錢。
cwn.Synset('海鮮.0') 以海中或水中動物烹調的食物。 荷蘭美食的重點除豐美的<海鮮>外，亦有多樣化的乳製品。
cwn.Synset('想.2') 心中存有完成後述事件的願望。 如果你<想>成為一個詩人，成為音樂家，你就得對所從事的工作付出熱愛。
cwn.Synset('想.7') 在心中對特定事件提出推測性的論斷。 我在<想>，那麼多人要去，我不要去了。
cwn.Synset('惹.1') 引起後述對象的主觀評價反應。 父母在世時一定要好好孝順父母，不<惹>父母生氣，這樣才是一個孝順父母的好孩子。
cwn.Synset('採訪.0') 以訪問的方式搜集採訪的內容和呈現出的結果。 這是一次接近失敗的<採訪>。
