所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
短 形容買賣時間差距小。 上週六股市的回檔應屬<短>線過熱後的回檔。
累格 形容資訊過時。 原諒我每次都在發<累格>文。
絲 形容質地像絲柔細光滑的。 在eBay台灣裡，你可以買到<絲>紗質料上衣相關物品，包括女裝上衣，衣服名牌GAP、polo等等。
脆 形容質地較硬的食物，容易咬碎弄裂。 油炸的夾心餅，又薄又<脆>，很合巴西人口味。
私 形容走私的。 金門海巡隊登船臨檢，發現滿船的<私>貨均是來自臺灣中轉。
突出 形容超出一般程度的水準或表現。 老師這次特別挑選幾位作文表現<突出>的學生到校外參加比賽。
額外 形容超出原先預期範圍的。 特徵比對法的主要缺點為需要<額外>的特徵列儲存空間。
柏拉圖 形容超越肉體慾望，注重精神層面的。 我們沒過約定什麼，那是一種隱約的默契，將所有的一切變得很<柏拉圖>的感覺。
多餘 形容超過預期的。 如果沒有新產品，縱然有<多餘>的勞力，也沒有發揮的機會。
伏 形容趴著的。 深夜的神風學校就似一隻<伏>獅，靜靜等待著黎明的到來。
悠 形容距離深或長。 今江河<悠>闊，風馬殊邈，故向義之徒履亡相尋，而建節之士猶繼踵無悔。
俗 形容跟俗世、塵世相關的。 他把一切的<俗>念全部拋在腦後，享受著年輕的權利。
通識 形容跨領域的知識。 「大學教育<通識>化、研究所專業化，已是共識，」政大商學院院長吳思華說。
實在 形容踏實。 在工作上，他們是樸直的，很踏實、很<實在>的呀！
單薄 形容身形瘦弱的。 師父見她身子骨<單薄>，便邀她天天聞雞起舞的勤練蹲馬步。
朗 形容身體健康的。 雖然她年已古稀，但身體挺<朗>，思維敏捷。
壯 形容身體強健有力的。 幾個很<壯>的大個兒把一口大鐘抬到公堂上頭的一個閣樓裡。
銅 形容身體強健而不易受傷的。 吳班長繼承家業已有10年之久，對蜜蜂了解甚詳，他已經練就了一身<銅>皮，不怕蜜蜂了。
尖 形容身體感官靈敏。 哪裡有好吃好喝的，特蒐小組可是鼻子<尖>得很，絕對不會放過的。
舒 形容身體或心理感到舒服的。 通體<舒>泰配方是以數種中藥獨家專業配製，能幫您身體靈活起來。
脹 形容身體特定器官受到壓力而不舒服。 我老公這一年來常常到了下午就喊頭<脹><脹>痛痛的，也特別容易疲勞。
脹 形容身體特定部位受到壓力而變得不舒服。 今天我給寶寶斷奶，一天了，我乳房<脹>得生疼，都快透不過氣了。
空 形容身體特定部位沒有被衣物覆蓋。 我有點不太敢夏天手臂那<空><空>的，露出手來，因為肉很多。
毛 形容身體特定部位的體毛很多。 黑澤灰有點不高興的垂下視線，看著一條橫在自己胸前，像是古代猿人特有的<毛>手臂。
豪 形容身體特定部位體積大。 陳喬恩寫真集<豪>胸半露。
幼稚 形容身體發展階段初期。 卡通片<幼稚>的童音，叨叨絮絮不斷的喊話。
癱 形容身體的特定部位因神經機能受到傷害而喪失完整的運動功能。 有一年，他老婆被來歷不明的病菌，侵犯腦部，全身<癱>了。
殘 形容身體的特定部位有缺陷的。 百分之七十的<殘>者，都是後天因素致<殘>。
激 形容身體突然受到低溫刺激而生病，通常為雨或冷水。 怡躍雨水中，忘情人世間的煩與憂、苦與痛，奶奶總是怕我<激>著，總是生急大呼大叫，我卻樂陶陶在雨中跳。
闊 形容身體部位或衣物部件面積較大。 茱莉亞的<闊>嘴、亂髮及長腿成為九零年代美女的新標準。
豐 形容身體部位飽滿圓潤。 印度教神廟裏的女神，乳<豐>腰細，強調優美的體態。
笨 形容較差的、不能最快達到目的的。 他們都是用最<笨>、最直接的方法，一點都不能取巧。
蠢 形容較差的、不能最快達到目的的，通常用於方法。 終於，我們想到一個<蠢>方法，調出手機跟家用電話明細，一通一通打。
豔 形容輪廓明顯或色彩飽和，容易引起人注意的。 我曾經試過不上粉底、蜜粉，就只上腮紅、口紅和眼影，就很<豔>。
硬 形容轉折承接過於突兀，不自然。 另外丁愛鈴對伊澤的感情，由原先的瞧不起演變成愛慕，也未免轉得太<硬>。
正 形容農曆閏月時原有的月份。 閏月沾了「八」的光，一些搶不到<正>八月的新人，也選了閏八月周末結婚。
生成 形容近代語言學理論的一支，認為表面語句是由抽象的結構衍生而來的。 語言哲學家喬姆斯基曾提出轉換<生成>語法理論。
進取 形容追求進步。 書中只有樂觀<進取>的信念，沒有一句怨天尤人的話語。
晶 形容透光而帶有光澤感的。 啊！何其零落的星語與<晶>澈的黃昏。
偌大 形容這麼大，帶有強調語氣。 <偌大>的啤酒屋裡，簡單的原木桌椅，坐滿了賓客。
禪 形容通指與佛教相關的。 <禪>話乃是啟迪人之良知良能，發人深省之語。
累格 形容速度緩慢。 這裡收訊不穩一直<累格>。
舒 形容速度緩慢的。 我們要的是<舒>徐上升的進步。
型 形容造型佳、有獨特風格的。 7款<型>帽閃耀寒冬，保暖時尚兩不誤，帶你領略秋冬潮帽！
重大 形容造成很大的影響或後果的。 此書在這種政治氣候與學術環境下出版，其意義非常<重大>。
重 形容造成或影響的後果嚴重的。 她犯的罪很<重>，當年被判了無期徒刑。
輕 形容造成或影響的後果比較不嚴重的。 我常會不知該如何和別人相處，話說出來是<輕>或重，也很難判斷。
講究 形容連小細節都很注重的。 現在她的店裡也有<講究>的江浙點心，真正是南北合一。
滔滔不絕 形容連續不斷。 早自九零年代初，台灣商人便已如<滔滔不絕>的潮水，一波波湧進上海灘頭。
放射 形容進行放射治療的。 治療方法可採藥物控制、<放射>碘治療或手術。
武 形容進行武術功夫、體育技能或其他以體力活主的活動時用到的。 決鬥進行了數十回合，震天蒼璧身上<武>服破碎不全。
策略 形容進行特定事件時手段靈活的。 青年說話十分<策略>，不動聲色的把自己的想法表達了出來。
栩栩如生 形容逼真而生動。 神庫斜對面有一個馬房，門樑上雕刻著許多猴子<栩栩如生>的頑皮模樣。
活生生 形容逼真，好像具有生命力的。 嬉皮他們經常成群在這片草地上默坐，有如一座座<活生生>的雕像。
輕 形容運動動作靈巧快捷，通常指舟船。 剛說到這裡，那隻又<輕>又小的白帆船忽然飄開了。
單向 形容運動的方向只有一個。 視訊服務藉著與網路、電腦的結合，它已經突破<單向>傳輸的瓶頸，進入雙向資訊交流的境界。
雙向 形容運動的方向有兩個。 在有線電視與<雙向>通信法令研究方面，由於民間的需求迫切，應儘速蒐集相關方案。
旺 形容運勢好。 妳所認識的人當中誰，氣最<旺>？誰，最夠力？
泰 形容運勢往正面發展的。 五十五劃外觀隆昌，內隱福患，克服難關，開出<泰>運。
故 形容過世的。 東吳大學<故>校長章孝慈的喪禮，昨天在臺北榮總介壽堂舉行。
遺 形容過世的人留下的。 獨幕劇《芭拉的<遺>曲》已翻譯成西班牙文，由AndresEspejo導演，於智利的聖地牙哥演出。
盈 形容達到後述數量。 破裂的屋瓦，彷彿是漏斗一般，把雨水撒得遍地，積水<盈>寸。
成 形容達到後述結果。 她唯一的女兒僑居美國，家庭、事業皆有所<成>。
商用 形容適合商業使用的。 他用這一個原則，發明了<商用>計算器，文字處理機和適合大企業辦公室運作。
家用 形容適合家庭使用的。 購買所有系列迪吉多筆記型電腦皆贈送<家用>紅外線移動式防盜器。
對 形容適合的。 我看時機不<對>，約好改日再去詳談。
普遍 形容適用於所有同類對象。 80年代的爵士樂產生了在唱片上留一手的<普遍>現象。
妥善 形容適當且完善地做後述事件。 賓客接待工作已早安排<妥善>。
恰 形容適當的。 也許是語氣不對，也許是措辭不<恰>，聽起來像極了賭氣。
正好 形容適當的時間。 東尼不在，尼奧便過來與我聊天。他說：「你來得<正好>，今夜我們有個聚會，你可以參加。」
正好 形容適當的量。 很少人能夠吃兩個的，所以，差不多都是一個半<正好>。
未知 形容還不知道的。 好奇心促使學者探討<未知>的領域。
新 形容還沒使用過或看起來像還沒使用過的。 年初一，也就是元旦，每個人都穿上<新>衣服，出去拜年。
邊 形容邊疆地區的。 <邊>鎮糧餉是明代國家財政的一大負擔。
妖 形容邪惡而迷惑人心的。 以茅山道士之邪術治國，難怪群魔亂舞，邪魔<妖>道橫行。
鄭 形容鄭成功家族所率領的軍隊。 <鄭>軍進入，當下就把這座城定名為承天府，並讓手下的子弟兵有了一席之地。
酷 形容酒味濃郁飽滿。 有令女孩子喜歡的橙味甜酒，也有令男生中意的微烈<酷>酒。
醫 形容醫療時會用到的。 身穿潔白<醫>袍的男子捧著杯酒，慵懶的坐臥在另一頭血紅色的沙發上。
海 形容重場面、講氣派而不在乎花費。 他做人很<海>，有大哥風範。
次要 形容重要性較低的。 他與四大公開賽冠軍絕緣，只摘下五個<次要>比賽的桂冠。
輕 形容重量小。 體積相同的木頭比鐵<輕>。
濃 形容量多且密的。 我家後院的長草很<濃>很密。
龐 形容量多而雜亂的。 在這個島上，有一些人的聲音幾乎被掩沒，他們的身影掩沒在<龐>亂紛擾的渾噩當中。
重 形容量大到超出一般人所能承受的程度。 現代人普遍壓力都很<重>。
碎 形容量少且不成一特定整體的。 他只自收拾了些少<碎>銀兩，打拴一個包裹。
零星 形容量少且不集中的。 在幼稚園時期，便開始「雙語教學」，但是學的很<零星>，不連貫，效果不大。
薄 形容金錢數量少的。 因二倍速機器價格低、利潤<薄>，但又沒有代替品下，目前仍以二倍速為主。
輕 形容金額或價值低。 買東西怕別人用不上或禮太<輕>，那就給紅包吧！
重 形容金額或價值高。 納徵，也就等於是訂婚，當然要送一分比較<重>的禮。
啟智 形容針對智能障礙者的。 一項別開生面的智障兒音樂治療教室，由中縣<啟智>協會主辦。
泰 形容鋪張浪費的。 人雖眾，不緩怠，不傲下；國雖富，不侈<泰>，不縱欲。
左 形容錯誤的。 二位的話，句句都說<左>了。
遠 形容長久、深遠。 所以人際關係有時要從比較<遠>的角度去想，不要只看現在。
乾旱 形容長時間不下雨而缺水的。 這時候天氣<乾旱>，很久不下雨了，河裡一滴水也沒有。
持久 形容長時間維持特定狀態。 有機肥料，由於分解緩慢，肥效<持久>，並能改善土質。
善 形容長相看起來慈祥溫和的。 他扮演一個因貪戀美色，而奪人妻，破壞別人家庭幸福，面<善>心惡的大壞蛋。
礦 形容開採礦物時會用到的。 工人打開了<礦>燈觀察周圍的情況。
閏 形容閏月。 自從《一九九五年<閏>八月》一書出版後，明年中共會武力犯台的預言引起許多人的猜測及恐慌。
新 形容關係剛產生不久。 思東在喜宴上，認識了幾位<新>朋友，大家談得很愉快。
遠 形容關係淡薄的。 照片引自Censor太陽能車的研發跟無車日有什麼關係?關係很<遠>，但是也很近。
不清 形容關係無法切斷。 婚都已經離了，何苦再去和夫家糾纏<不清>呢？
昵 形容關係親密的。 攜<昵>友以消遙兮，覽偉草之敷英。
有聲 形容附有錄音資料的。 彰師及清大<有聲>圖書館都以盲胞為服務對象。
祕 形容限制只有少數人能知道內容的。 我可以教你懷上雙胞胎的<祕>術。
開放式 形容限制較少的。 此案包括了百貨、旅館、餐飲等，未來將採<開放式>的管理，並希望能利用干城商業區的發展帶動附近舊商圈。
母 形容除了人以外的動物中具生產後代能力的性別。 當<母>鳥在窩裡孵蛋的時候，公鳥的責任是出去覓食。
雌 形容除了人以外的動物中能產生卵細胞並具生產後代能力的性別。 <雌>螽斯尾端有一軍刀狀的產卵管，<雌>蝗蟲則沒有這個修長的構造。
陶 形容陶質的。 這個<陶>盤無論作工或尺寸都堪稱大作。
旱 形容陸地上的。 曹操於水軍五隊、<旱>軍四隊之外，又添設兩隊。
氾濫 形容陸地上的自然水體水量增多超出該水體的負載而溢出。 洪水時，河水<氾濫>所及的谷床，稱為<氾濫>平原。
烈 形容陽光強且溫度高的。 我和Jen用完早餐後，就到飯店的沙灘上散步，雖然陽光很大很<烈>，卻未阻擋我們"賞海"的興致。
陰 形容陽光照不到的。 儲藏室又<陰>又濕，幸虧我沒要！
毒 形容陽光猛烈，使皮膚表面感覺刺痛灼熱不舒服。 停了一會兒又出發了，這時太陽更<毒>，一路上都是上坡，整個車隊行進緩慢，大家都被烤得頭暈腦脹。
成行 形容隊形是一直線的。 豬羊成群，牛馬<成行>，雞鴨滿塘…誰人不說鳳陽是個好地方呢？
低階 形容階級架構在底部的。 未領有終身俸的<低階>士官兵，正是回鄉定居的主要對象。
隔音 形容隔絕外界聲音的。 在道路兩側植樹造林有很好的<隔音>效果。
輕 形容隨便、輕易。 游泳池如神殿般高大莊嚴不能<輕>犯。
機動 形容隨時可移動的。 觀光地區當地民眾以違法的方式賺取利潤，諸如攤販、人力及<機動>車輛之租賃、地下旅館等等。
密 形容隱藏不公開的。 超<密>文件保險箱為企業、個人提供文件安全全面的解決方案
暗 形容隱藏在內部而不容易看到的。 尼龍<暗>釦式開關，拿東西好方便非常耐用又好搭！
彼此彼此 形容雙方所處情況相似的客套話。 我要先強調的這個人帥，這個見解都一樣，跟這個台大教授。∥<彼此彼此>。∥
對等 形容雙方相對的等級、地位。 對這筆生意，我們希望採用<對等>貿易。
凌亂 形容雜亂而無秩序。 由於撞擊力大，兩車均全毀，現場<凌亂>不堪。
喔 形容雞的叫聲。 「<喔>！<喔>！<喔>！」一聲長啼，劃破寧靜的早晨。
陰 形容雲層密佈，見不到陽光的。 早上的天氣開始變的很不好，天氣很<陰>快要下雨，沒有太多的太陽。
有毒 形容電腦感染到電腦病毒。 可能是你隨身碟<有毒>傳染給影印店的電腦。
累 形容需要付出超過正常程度的精神或體力。 人生若老是在追隨社會流俗是很<累>的。
長程 形容需要長時間完成的。 面對「實質的正義」的概念與需求，而嶄新的、<長程>的司法改革道路，也應由此思索！
連帶 形容非主事者卻具有共同責任的。 不負<連帶>責任的福利制度不但救不了人，反而害人。
經常 形容非例外的。 隔年起該三千萬並准增列為正式<經常>預算。
兼職 形容非全時間擔任本職的。 本設計工作室誠徵<兼職>的美編設計人員。
野 形容非官方記載的。 還珠格格<野>傳第一章乾隆年間，北京，紫禁城。
外國 形容非屬於說話者所屬的國家的。 梁胡雪姬透露，她們公司新進階層中，百分之六十拿<外國>護照。
渺小 形容非常小。 宇宙神秘的力量，總是讓我們覺得自己很<渺小>。
憂心忡忡 形容非常擔心。 由於國家多難，他<憂心忡忡>，但表面上絲毫不露感情。
焦急 形容非常著急。 五年來無法生男育女，這不僅使公婆<焦急>，夫婦間也常為此事操心。
私有 形容非政府所擁有的。 禪讓是把君位傳給賢能的人，不把國家看成<私有>的財產。
外籍 形容非本國國籍的。 調查站於偵訊後，已準備依法將來台打工近三年的<外籍>人士遣返出境。
世 形容非親屬關係中已有好幾代交情的。 她若知胡<世>兄是故人之子，縱有天大的要事，也早擱下，必已趕來與世兄相見。
相對 形容面對面。 在小鎮唯一的一家速食店裡，剪短頭髮的妳和不會說笑話的我，<相對>無言。
厚 形容音色飽滿。 他的說話聲音<厚>而不滯，也有糯糯的感覺，跟歌聲很接近，很好聽。
潤 形容音色飽滿且流暢。 這音響我很喜歡，音質很<潤>，清晰度很好。
渾 形容音質不清晰且無法使聽者有純淨的感覺。 為注意喇叭播放音樂之反射音,不適當處理聲音會<渾>。
清 形容音質清晰且使聽者有純淨的感覺。 風鈴隨著內開的木門擺晃，發出<清>聲。
乾淨 形容音質清晰且音色明亮。 陳潔儀有副如天籟般的聲音，<乾淨>自然，加上聲樂的訓練，更是如虎添翼。
響 形容音量或聲量大。 青年男女們吶喊助威的聲音越來越<響>。
低 形容音高低於比較對象的。 北京式的中音台笙音域較<低>，而且是用槓桿式的按鍵。
低 形容音高變低。 音樂旋律<低>了，現場氣氛也沈了。
高 形容音高高於比較對象。 這樣會明顯的聽見外弦音會偏<高>。
亢 形容音高高於比較對象的。 女高音高而不<亢>的獨白，好像唱到心裡頭去了。
下列 形容順序在參考點之後所列舉的。 主辦單位亦將邀請<下列>學者進行評論：曾振民、梁榮茂、古國順、張光宇、徐勝一、楊兆禎、羅肇錦等人。
次 形容順序排在第二的。 日本宮廷官員稱天皇<次>媳紀子妃已懷孕三個月。
奇 形容預料之外的。 古代的戰爭，常見劣勢的一方，使出<奇>計，以反敗為勝。
防空 形容預防敵人空中攻擊的。 戰斧飛彈以每小時哩的速度，緊密的順著地形，躲過敵軍的<防空>體系，低空飛行。
頑 形容頑固，不服從他人的。 因為他們心地<頑>硬，使我非常憂傷。
頑 形容頑皮好動的。 她的小<頑>子做錯事，她也是發飆，但最後被「馴服」的，卻總是她！
漲 形容頭部充血。 小剛越說越激動，臉<漲>得通紅。
昏 形容頭部有沈重感、身體失去平衡感且視覺模糊的的。 風熱型感冒一般表現為發熱，微惡風，汗出不暢，頭<昏>脹痛，面色多赤。
頭疼 形容頭部疼痛。 可以用茶牙膏刷牙防蛀、睡茶枕治<頭疼>。
毛 形容頭髮不柔順且乾燥的。 洗完頭髮後很<毛>或很澀，頭髮梳都梳不開，有時頭髮還會打結!
粗 形容顆粒大。 在整座石門洞上，幾乎都是由細顆粒的砂岩和<粗>顆粒的礫岩堆積出來的。
細 形容顆粒小的。 車窗外突然飄下薄薄的<細>雪，太陽公公卻仍高掛藍天上普照大地。
淡 形容顏色不深。 生抽是醬油的一種。特色是色澤較<淡>，呈紅褐色，以及味道較鹹。
蔥 形容顏色像蔥一樣的綠色的。 它纖葉亭亭，挺秀<蔥>碧，蘊含著蓬勃生機，令古人感嘆不已。
墨 形容顏色帶有深灰成份且亮度低的。 無印良品的直角隱形襪共有米色、棕色、<墨>灰、黑色4色可選擇。
花 形容顏色混雜交錯的。 你的衣服很<花>。
棕 形容顏色為棕色，像樹皮、泥土的顏色的。 <棕>衣男子搖了搖頭，看著他，目光同情。
橘 形容顏色為橘色的，像橘子一樣介於紅與黃之間的。 米飯上的<橘>紅鮭魚看人令人食指大動。
青 形容顏色為深藍色的。 <青>海<青>，黃河黃，我們的河山多雄壯。
雪白 形容顏色為白色的，像雪一樣的。 他們看到工人把大批<雪白>的絲，一把兒一把兒的投到染缸裡。
血 形容顏色為紅的，像血一樣的。 改良過的<血>鸚鵡紅得發光，搶奪所有目光。
紫 形容顏色為紫色，像茄子的顏色的。 女人露背的洋裝<紫>得和她的長相不很搭調，那使人容易聯想成是夜晚徘徊街頭拉客的貨色。
褐 形容顏色為褐色，像樹皮、泥土的顏色的。 本來就想要買一頂帽子，出國前在NET看到NT$390沒有下手，這頂小<褐>帽居然只要HK$49.9。
靛 形容顏色為靛色的。 藍光、<靛>光和紫光是偏折最大的。
黃 形容顏色為黃的，像香蕉、金子、玉米顏色的。 鵝媽媽，真漂亮，頭上戴著<黃>帽子，身上穿著白衣裳。
深 形容顏色的亮度較低、色素較多的。 她雖然膚色較<深>，但掩不住那甜美的輪廓。
淺 形容顏色的亮度較高、色素較少的。 因為我的唇色不<淺>，所以我不擔心看起來沒血色。
濃 形容顏色飽和度較高。 退暈是指由<濃>色調到淡色調一直到白的畫法，是更為專用的名詞。
負責 形容願意承擔責任。 他人很開朗，做事也很<負責>，配合度很好。
豪 形容風、雨、雪等強而有力且量多。 警方表示，因連日風<豪>雨大水沖刷，致橋墩下陷。
勁 形容風、雨、雪等與空氣流動相關的氣候現象因風速快而強而有力。 疾風<勁>雪襲擊山東煙台。其時風勢甚<勁>，只颳得火堆中火星亂飛。
颼 形容風本身溫度低或令人感覺溫度低的。 一場冷冷的<颼>風來的出奇不易。
美式 形容風格、形式上屬於美國或來自於美國的。 美國長大的李玟，一向以<美式>唱腔、<美式>造型見長。
果 形容食品以植物果實為主要原料所製成的。 真正的<果>糕來自義大利錫耶納，是一種口感結實、幾乎不用麵粉的堅果蛋糕。
辛 形容食材具刺激性且味道重的。 《楞嚴經》說:諸眾生求三摩提。當斷世間五種<辛>食。
老 形容食材因生長過久或其他理由而口感不好。 超市有賣非常巨大的章魚，不過不建議買因為肉質太<老>了。
發 形容食材因發酵而膨脹的。 拿這果子的澱粉泥製成<發>麵團，那就可以長久保存，不至於腐敗。
熱 形容食材或藥材會使身體陽氣亢盛的。 哪些水果屬性涼，哪些水果屬性<熱>？
寒 形容食材或藥材會使身體陽氣衰竭且免疫機能下降的。 本草綱目就明白指出所有花類均屬性<寒>。
涼 形容食材或藥材會使身體陽氣衰竭的。 針灸有補瀉的手法，而藥物也是寒<涼>溫熱等屬性。
生 形容食材烹煮的程度很低，較接近其未經烹煮的狀態。 我的牛排很<生>，但是較嫩。
嫩 形容食材質地細而口感柔軟。 它的葉子很<嫩>，營養價值非常高。
疏 形容食物不精緻。 道在我，雖飯<疏>食飲水亦可樂。
綿 形容食物口感細緻鬆軟。 這邊的霜淇淋好冰、好<綿>、好好吃唷。
飽 形容食物會令人產生飽足感。 粽子是一個很容易<飽>的餐點。
燒 形容食物溫度高。 小心～這桶青菜很<燒>！小心被燙著了！
老 形容食物烹煮過度造成口感不好。 第一個步驟是起油鍋將蛋炒碎，注意不要炒太<老>。
嫩 形容食物烹調時間短，口感柔軟的。 吃一口麵條，滑溜香<嫩>而帶嚼勁兒。
粗 形容食物的口感不柔軟且不易嚼碎。 將青蒜也切成細絲，一般的青蔥上半部綠色的部份口感很<粗>，所以只取整支青蔥的後2/3部分。
細 形容食物的纖維少且易嚼碎。 這家四代老店因餛飩皮<細>肉美，香聞六十六年。
爛 形容食物經烹飪後，組織變鬆軟。 悶二十分鐘後，再開火煮一下，綠豆就會<爛>了。
粉 形容食物質地比預期鬆散，口感不好。 我是不太吃中式的餅，綠豆椪偶爾會吃一點，但有些綠豆椪吃起來很<粉>，口感很不好。
清 形容食物除了主要食材以外沒有其他食材的。 這定食包含主菜、白飯、<清>沙拉、三小菜、漬物、味噌湯。
肥 形容食物飽滿多汁的。 藕是蓮的地下莖先端能形成<肥>嫩根狀的可食部份，為重要的水生根莖類蔬菜之一。
散 形容食用的肉質不紮實而口感不好。 聽別人說也覺得不新鮮，都是覺得肉很<散>，沒有彈性。
軟性 形容飲料不含酒精的。 大量飲用咖啡因類<軟性>飲料的青少年血壓較高。
脹 形容飲食過度而腸胃不舒服。 我吃了三次大餐，三次都吃很<脹>卻沒變重喔！
脹 形容飲食過度而腸胃變得不舒服。 他吃太飽了，肚子<脹>得難受。
豐厚 形容飽滿圓潤的樣子。 只是嘴唇嫌薄，擦了口紅還不夠<豐厚>。
公主病 形容養尊處優、自恃甚高的女生個性。 要求多又愛生氣，你前女友真的很<公主病>。
王子病 形容養尊處優、自恃甚高的男生個性。 什麼事情都以為靠著帥就能解決，他真的很<王子病>。
盛 形容餐點食物種類多且精緻的。 即使在一頓<盛>宴上吃過山珍海味，這以後還要加吃稀飯鹹菜。
芳 形容香味濃郁。 高霜木其質芬且<芳>，百蟲蛀不得。
噴 形容香味濃郁的。 這天要吃<噴><噴>的小米飯，再加上細絲滑韌的雜麵湯，以慶賀節日。
強 形容體力或身體狀況好的。 韓國隊體力很<強>，而且球迷站在他們一邊。
瘦 形容體型變小或體重變輕的。 她媽媽想盡辦法，就是<瘦>不下來。
勇 形容體格壯碩而力氣大的。 我是不會怕被欺負啦，體格很<勇>！！
豆 形容體積像豆子一樣大小的。 步出花房，外面已下起<豆>珠大的雨絲了。
高尚 形容高品質的。 <高尚>禮盒，送禮、自用兩相宜。
平 形容高度相同的。 一進門，繞過麻石鋪成的天井，天井裡的雪已擁出厚厚一層，幾與井口齊<平>。
危 形容高聳的。 寺中的大雄寶殿廣廈<危>宇，空守蘭颱風雨不摧，前幾年卻被人為拆除了。
兀 形容高聳突起的。 君不見敬亭之山黃索漠，<兀>如斷岸無稜角。
蒼 形容髮色灰白的。 我們有幸拜訪了華澤釗──這位兩鬢已露<蒼>色的老教授。
清 形容麻將遊戲中同樣花色的。 <清>龍，和牌時，有一種花色1~9相連接的序數牌。
清 形容麻將遊戲沒有吃牌、碰牌和沒有摸到花。 我怕別人呢在過年的時候，就是門<清>不求一摸三，是槓上開花多一檯。
黑 形容黑道的。 他們真實的身分我杜撰一個名字就是灰幫，不<黑>也不白，他們吃灰錢，用灰色的手段搜括來這麼一筆錢。
固體 形狀、體積不易改變的物體。 <固體>的質地較液體、氣體堅硬，且其形狀不會隨著容器的形狀而改變。
峰 形狀像山峰的物體。 駱駝的兩個<峰>都是白色的脂肪，有五十多斤。
床 形狀像床，用來放置特定物品的架子。 接著他又奔到後面，只見別無長物，只有一只琴<床>，擺在房之正中，床上放著古琴一具，五弦俱備。
翼 形狀像昆蟲或鳥類翅膀的物體。 他那蜻蜓<翼>的太陽鏡都把這個流浪漢的形象襯托的更真實。
棒 形狀像棒子的物體。 禦寒巧克力<棒>去年問市後只在加拿大西部市場試銷。
樹 形狀像樹的物體。 在本論文中，我們用親子<樹>(parenttree)結構來表示家族的遺傳資料。
橋 形狀像橋的拱形物體。 夢幻的彩虹<橋>，像霧一般，出現又消失。
溝 形狀像溝的長形凹陷處。 肩胛骨後縮運動：手叉腰，手臂用力後夾，使兩肩胛骨相靠，形成一道<溝>。
燭 形狀像燭的物體。 妙如被千<燭>岩的熱流和綠彩寒玉的寒流交互吸引而導致如來心出體。
球 形狀像球或類似球的物體。 我偏好可以產生大量泡泡的沐浴乳，卻不喜歡用沐浴棉<球>幫助泡泡產生。
盤 形狀像盤子的物品。 旋繞盤的講解與演練。滾頂拍<盤>教練。飛盤狗介紹表演。
磚 形狀像磚的物體。 燈光從玻璃<磚>底部照射，可呈現出不同的色彩。
耳朵 形狀像耳朵的物體。 貓<耳朵>煮的時間需7-8分鐘。
舌 形狀像舌頭的物品。 此款筆<舌>在前端的筆<舌>形狀做變化，將筆<舌>前端改成耶誕樹形。
葉 形狀像葉子的物體。 宿舍的每個角落都要打掃乾淨，如紗窗要拆下來洗，電風扇的扇<葉>要一片片刷。
葉 形狀像葉的器官。 病魔蠶食著患者的腦<葉>，不僅吃掉了他的過去，也吃掉他的未來。
後葉 形狀像葉的特定物體的後半部份。 這些神經細胞會送出神經軸突（或纖維）到腦下腺<後葉>。
輪 形狀像輪子的物體。 月<輪>漸沉，烏鴉啼叫，天地間一片霜寒。
門 形狀像門的球類競賽裝置，當球進入此裝置即得分。 再過五分鐘，黃哲明趁<門>前亂軍之際，大膽又踢進一球。
門 形狀像門，用於打開或關閉儲藏裝置的部件。 必須打開保險箱<門>之後，才能設定密碼。
門口 形狀像門，用於打開或關閉儲藏裝置的部件的開口處。 我看到衣櫃<門口>一隻好大的蜘蛛約15公分，是肥腿的耶。
雲 形狀像雲或以雲形為裝飾的人造物。 有些較為細緻的建造包括鄉村、河流，寺廟等不同類型的規劃，及其細部設計。如寺廟中木構件「<雲>」的細部處理屬於個別木匠的工作。
雲 形狀像雲的。 <雲>髻是隋唐時候流行的髮髻樣式。
霜 形狀像霜的結晶物。 如果要做五顏六色的糖<霜>也可以，不過我沒有食用色素。
麵 形狀像麵條的食品。 哇！這就是仙草<麵>嗎？口感很像拉麵，湯頭也很有客家風味，好吃喔！
皮 形狀很薄的物體。 現在已近中秋，不過這天看來還要熱下去，我就給大家介紹一道清清爽爽的綠豆芽涼拌雞絲蛋<皮>。
條 形狀細而長的物體。 將扭折完成的麻花<條>排放在已抹油、鋪上一層鋁箔紙的烤盤上。
條 形狀細而長的物體的單位。 目前臘肉計費方式是以<條>算。
紐 形聲字的聲符。 「赴」上古音屬滂<紐>屋部。
形容 形體和容貌。 昔日天后惠特尼沉迷毒品<形容>枯槁，滿臉憔悴。
彩 彩色的絲織品。 「八仙<彩>」是民間新居落成、婚姻喜宴常用的賀<彩>，大多懸掛在家門口的門樑上。
娛 影片工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。 我覺得中國和蘋果的韓<娛>記者都比日<娛>記者專業很多耶!
片 影音作品壓製成的產品的單位。 影片以<片>計算。
帶 影音作品的內容錄製成的產品的單位。 這次畫展共有三位展出者，所以我們共錄製三套錄影帶，每<帶>介紹一位創作者。
季節性 影響特定事件的時間因素。 何語表示，失業率該以<季節性>來看。
姐妹 彼此交情親密的女性朋友。 我和她是結拜<姐妹>，感情比親<姐妹>還好。
提交 往上正式地提出。 該案將在本周一<提交>院討論。
下 往低處移動。 彎過山路，要<下>一個陡峭的坡，我就放心的衝。
