e04 , 形容極度不悅。
捏 , 用手掌固定或拿物品。
捏 , 用有支撐點及兩臂的工具固定後述對象。
捏 , 編造出沒有根據、不符事實的話或事物。
捐出 , 拿自己所擁有的後述事物給受益對象。
捐助 , 拿出自己所擁有的財物幫助他人。
捐助 , 普通名詞。幫助他人的財物。
捐 , 拿出財物送給人或團體，不求直接報償。
捐 , 普通名詞。接尾詞。稅的一種。
捐款 , 將錢財送給他人或團體，不求直接報償。
捐款 , 普通名詞。捐助的款項。
捐獻 , 拿出財物送給人或團體，不求直接報償。
捐贈 , 拿出財物送給人或團體，不求直接報償。
捕 , 專有名詞。姓。
捕 , 尋找並捕獲後述對象。
捕捉 , 尋找並捕獲後述對象。
捕捉 , 比喻掌握。
捕捉 , 調查或逮捕非法對象。
捕撈 , 用網狀物捕捉水生動植物。
捕 , 普通名詞。本壘後方的守備員。「捕手」的簡省。
捕 , 比喻依據法律或其他強制力量逮捕後述非法對象。
捧 , 兩手掌心向上持物。
捧場 , 以欣賞或使用的方式表達支持。
捧場 , 親自到現場參與，表達支持。
捧 , 比喻以欣賞或使用的方式表達支持。
捧 , 比喻呵護溺愛後述對象。
捧 , 比喻提高特定對象的知名度。
捧 , 比喻擁有高學歷。
捧 , 比喻眾人同力維持後述對象的知名度或地位。
捧 , 比喻親自到現場參與，表達支持。
捧 , 比喻過度稱讚特定對象以提高其地位。
捧 , 計算兩手掌合抱物品的單位，通常用於花。
捧 , 計算物品以兩手掌心向上併合所持物品的單位。
捨不得 , 因愛惜而無法放棄。
捨 , 不選擇後述對象。
捨 , 將自己所擁有的事物拿出來給他人。
捨得 , 雖然愛惜卻能忍心。
捨 , 從觀察者的方向，與後述對象分開。
捨 , 數學運算時將數目較小的尾數忽略不計。
捨 , 雖然愛惜卻能忍心。
据 , 以強力取得後述地理空間。
据 , 存在並擁有後述空間。
据 , 引介特定對象作為言論或行動的基礎。
据 , 引介特定的觀點。
据 , 引介遵循的原則。
据 , 形容沒有多餘可應用的金錢。
据 , 普通名詞。可作為證明的事物。
据 , 普通名詞。言論或行動的基礎。
捲 , 前述物體移動時的力量帶動後述物體，使其離開原來的位置。
捲 , 彎曲後述身體部位。
捲 , 彎轉材質軟的物體，使其成圓筒狀。
捲 , 形容彎曲成螺旋狀的。
捲 , 普通名詞。接尾詞。彎轉成圓筒狀的物體。
捲 , 普通名詞。接尾詞。纏繞在圓筒上的細長物品。
捲 , 比喻因為強大力量影響，無法自己控制而進入後述事件。
捲 , 用細長的物品將後述對象纏繞。
捲 , 計算彎轉成圓筒狀的物體的單位。
捲 , 計算纏繞在圓筒上的細長物品的單位。
捶 , 以棒狀物或拳頭敲擊特定物體。
捶 , 普通名詞。敲打用的短棒，通常一端較大且堅硬。常用接尾詞。
捷 , 地方詞。國名，歐洲中部的國家，位於波蘭、德國、奧地利、斯洛伐克之間。「捷克」的簡省。
捷 , 專有名詞。治理捷克的政府。「捷克」的縮寫。
捷 , 形容事件或事件的特定段落進行的時間短。
捷 , 形容在競爭中獲勝。
捷徑 , 普通名詞。比一般更快的路程或方法。
捷徑 , 普通名詞。比喻比一般更快或省時的方法。
捷 , 普通名詞。捷克的文化。「捷克」的簡省。
捷 , 普通名詞。接尾詞。利用地面、地下或高架設施，不受其他地面交通干擾，使用專用動力車輛行駛於專用路線，並以密集班次、大量快速輸送都市及鄰近地區旅客的公共運輸系統。「捷運」的簡省。
掃 , 利用電磁束的移動來複製物體的圖像。
掃 , 快速掠過。
掃 , 快速看過特定物體或空間。
掃 , 比喻清除敵人或不法的行為。
掃 , 清潔、整理。
掃瞄 , 利用電磁束的移動來複製物體的圖像。
掃瞄器 , 普通名詞。複製圖像的裝置，將實體的影像轉成數位格式。
掃瞄 , 在特定範圍內快速地看過一次。
掃瞄 , 尋找或檢查特定資料。
掃瞄 , 比喻在特定範圍內快速地看過一次。
掄 , 從多個同類對象中挑選出後述對象。
掄 , 手握拳用力打。
掄 , 搖動、振動手臂或手持之物。
授予 , 以正式、公開的方式將榮譽或權力給特定對象。
授 , 指導、傳授知識技能或適當的行為。
授 , 有權力的人以公開正式的方式將職位或獎勵給後述對象。
授權 , 將智慧財產權等權利依合約的條件給特定對象使用。
授權 , 形容有正式證書或合約的。
授權 , 普通名詞。依合約條件所獲得的使用權。
授權 , 有權力的人或機構將執行的權力給予特定對象。
授課 , 在特定學校系統裡指導、傳授知識技能。
掉以輕心 , 因不注重而忽視。
掉 , 前述對象面向的改變，轉到與原來方向相反的方向，常與「過」連用。
掉 , 因疏忽而沒有列入應該列入的對象。
掉 , 因疏忽而遺失後述對象。
掉 , 因趕不上而脫離隊伍。
掉 , 塗在表層的材料脫落。
掉 , 比喻將兩個特定對象互換。
掉 , 比喻市場交易價格下降。
掉 , 比喻數量或數目減少。
掉 , 比喻沒有獲得預期會得到的特定對象。
掉 , 比喻物品的外表物件脫落。
掉 , 比喻特定對象原有的等級或地位變低。
掉 , 流眼淚。
掉 , 物體因受重力影響而落到低處。
掉 , 表示前述動作結束的狀態，置於動詞後。
掉 , 身體可以再生的外表組織脫離身體。
掌 , 專有名詞。姓。
掌 , 掌握控制特定事件。
掌握 , 掌握控制特定事件。
掌 , 普通名詞。以動物的掌為主要食材的料理。
掌 , 普通名詞。動物腳跟到腳趾跟之間底部的部份。
掌 , 普通名詞。手腕到指根之間內部的部份。
掌 , 普通名詞。接尾詞。武術中使掌的技法。
掌 , 普通名詞。釘在動物蹄子底下的馬蹄形金屬片。
掌 , 普通名詞。釘或縫在鞋底的皮墊或橡膠。
掌 , 用手將物品拿在高處。
掌 , 用手掌打後述對象的臉。
掌 , 計算用手掌拍打次數的單位。
掐 , 拇指按住其他手指。
掐 , 比喻估算適合的數值或時間。
掐 , 比喻擁有控制權。
掐 , 用兩隻以上的手指夾特定物體的表面。
掐 , 用手的虎口用力壓住。
掐 , 用拇指和其他手指夾住特定物體的一部份，並使其與母體分離。
排 , 依照特定方式安置特定對象。
排入 , 依照特定方式將特定對象安置到後述地點。
排入 , 操控交通工具的變速器，使其變成後述檔位。常與「檔」連用。
排入 , 比喻規劃特定對象並將其安排至後述事件中。
排入 , 特定主體釋出流體或物質到後述地點。
排入 , 特定對象排列到後述隊伍中。
排出 , 依照特定原則，安排特定事件的進行。
排出 , 依照特定方式排列特定對象，使其成為後述圖案。
排出 , 從特定主體中釋出流體或物質。
排出 , 比喻排解特定負面情緒。
排 , 同輩親屬依照年紀排列的次序為。
排名 , 名次排列為。
排名 , 普通名詞。名次。
排 , 名次排列為。
排 , 在正式表演前演練表演內容。
排 , 形容由多個同類對象排列成一線的。
排 , 從特定主體中釋出流體或物質。
排成 , 排列成為。
排 , 排列成特定隊形。
排 , 推開後述物體。
排放到 , 特定主體釋出流體或物質到後述地點。
排放 , 從特定主體中釋出流體或物質。
排 , 普通名詞。在長方形球場中，以網子為分隔界線的一種球類運動，6人為一隊，雙方往復以手托球或擊球過網。「排球」的簡省。
排 , 普通名詞。多個特定對象排列成行或成列的集合體。
排 , 普通名詞。接尾詞。大而扁平的肉片。
排 , 普通名詞。用竹子、木頭或其他類似材質編成的大型片狀水上交通工具。常用接尾詞。
排 , 普通名詞。軍隊編制之一，隸屬在連之下，班之上。常用接尾詞。
排 , 有條理的規劃特定事件。
排 , 比喻克服或忽略後述對象帶來的阻礙。
排 , 比喻利用特定方式使特定對象失去地位或利益。
排 , 比喻將人員配置在特定的位置。
排 , 比喻排解特定負面情緒。
排污 , 從特定主體中釋出有汙垢雜質的流體或物質。
排灣族 , 專有名詞。臺灣地區原住民之一，分佈於中央山脈南端及東部海岸山脈南端，以大武山為發源地。
排灣族 , 普通名詞。排灣族的文化。
排行 , 同輩親屬依照年紀排列的次序為。
排行 , 名次排列為。
排行 , 普通名詞。同輩親屬依照年紀排列的次序。
排行 , 普通名詞。名次。
排 , 計算多個特定對象排列成行或成列的集合體的單位。
排 , 計算軍隊中排的單位。
掘 , 比喻尋找知識或問題的答案。
掘 , 比喻為了得到特定對象而努力尋找追求。
掘 , 用工具或手從物體的表面向裏面施力，取出其中包藏在內部的物體。
掘 , 用工具或手從物體的表面向裏面施力，破壞其表面。
掘 , 用工具或手從物體的表面向裡面施力，取出其中的一部份，使其形成凹洞或通道。常與「洞」、「井」連用。
掙扎 , 因受制或受傷而受困的動物用力脫離受困的狀態。
掙扎 , 比喻受困於負面環境的主事者努力脫離該負面環境。
掙扎 , 比喻處於多種選擇中無法決定的狀態。
掛 , 利用電話裝置與人通話。
掛勾 , 普通名詞。用來懸掛或連結物體的鉤狀器具。
掛勾 , 為了利益而與特定對象合作，通常用於負面。
掛勾 , 聯繫特定貨幣間的幣值，使其兌換匯率固定不變。
掛勾 , 連結不同事件間的因果關係。
掛 , 將尚未結的帳目記錄在帳本上。
掛 , 將物品繫掛在身上。
掛 , 形容可用來懸掛的。
掛 , 形容比喻在競爭中被淘汰。
掛 , 形容比喻機器的特定功能喪失。
掛 , 形容生物失去生命。
掛念 , 形容對特定事物記掛在心中且帶有很深的感情。
掛 , 支撐特定物體的一端使其維持在特定高度。
掛 , 普通名詞。具有共同性的人或物。
掛 , 比喻前述事件沒有進展或結果。
掛 , 比喻心裡持續想著特定對象。
掛 , 比喻把文字、圖片或連結公佈在網路上。
掛 , 比喻維持住尊嚴。
掛 , 比喻臉部顯示出特定表情或情緒。
掛 , 比喻長時間作特定事件，通常是使用網路或看電視。
掛 , 特定物體的一端被支撐而維持在特定高度。
掛 , 登記並留下紀錄以獲得特定服務。
掛 , 結束與他人利用電話裝置的通話。
掛 , 經常說出特定陳述。
掛 , 計算同一枝上同時生長多個果實的水果的單位。
掛 , 計算多個同類對象串連成一個整體的物體的單位。
掛 , 計算車廂的單位。
掛 , 連結可拆卸的車廂。
採 , 使用後述材料製成前述物品。
採取 , 比喻選擇後述有系統性的態度或方式。
採取 , 為檢驗目的而從特定對象中選取一定比例做為檢驗的對象。
採 , 折斷植物特定部分與母體間的連結，以取得該部分。
採收 , 割取成熟的農作物。
採 , 比喻選擇後述有系統性的態度或方式。
採 , 為檢驗目的而從特定對象中選取一定比例做為檢驗的對象。
採用 , 使用後述材料製成前述物品。
採 , 用工具由地表或地下取出後述礦物。
採用 , 比喻選擇後述有系統性的態度或方式。
採訪 , 以訪問的方式搜集採訪的內容和呈現出的結果。
採訪 , 以訪問的方式搜集新聞材料。
採購 , 挑選購買物品。
採購 , 普通名詞。擔任挑選購買物品職務的人。
探 , 以言語或行為引起他人的反應，藉以了解他人的意圖。
探 , 以身體部位的感官能力判斷後述狀態。
探 , 伸出手拿取特定物品。
探 , 將頭伸出。
探 , 尋找後述未確知存在的對象。
探 , 拜訪探望與自己住在不同地方的親友。
探 , 普通名詞。接尾詞。專門尋找線索以發掘被隱藏的真相的人。
探 , 普通名詞。接尾詞。被派到特定地點蒐集相關訊息的人，通常必須進入敵方所控制的區域。
探 , 比喻指數或數值往低的標準逼近。
探 , 比喻研究未確知的議題。
探 , 用細長的工具觸碰特定對象以獲取所需的訊息。
探知 , 經過觀察探索後得知特定訊息或知識。
探究 , 尋找知識或問題的答案。
探索 , 尋找知識。
探索 , 尋找親身體驗。
探親 , 事件名詞。專指從臺灣到中國大陸拜訪探望親戚的相關事件。
探親 , 拜訪探望與自己住在不同地方的親戚。
探 , 親身體驗特定地點的文化。
探討 , 尋找知識或問題的答案。
接下來 , 表接續前述事件。
接 , 以手或工具托住正在降落的特定物體。
接任 , 承繼前人的職位。
接 , 兩物體在空間上相連。
接 , 利用電話裝置接收他人打來的電話。
接受 , 前述對象同意參與後述由其它對象發動的事件。
接受 , 前述對象為後述事件的受事者，常與事件名詞連用。
接受 , 對特定對象持正面態度和看法。
接受 , 對特定對象持負面態度和看法，但願意做某種程度的妥協。
接受 , 收取他人所給予的物品。
接合 , 使連接在一起。
接 , 地理位置與後述地點相鄰。
接 , 將要繁殖的植物的枝或芽接到另一植物上，以改變品種。
接 , 專有名詞。姓。
接待 , 以合乎禮節的方式迎接並對待後述人物。
接待 , 普通名詞。負責迎接賓客的人。
接 , 從前述交通工具連結後述交通路線。
接 , 從特定對象手中取得後述物品。
接 , 接任特定對象的工作或職務。
接 , 接受並處理特定事件。
接 , 接回後述對象。
接 , 接通特定線路。
接 , 普通名詞。兩個特定時段交接的時間點，通常用於季節或朝代。常用「…之接」。
接棒 , 延續承接股盤漲勢。
接棒 , 接力賽跑中，接交棒子的過程。
接棒 , 接力賽跑中，接受他人傳交的棒子。
接棒 , 接替責任或所有權。
接 , 特定事件發生在特定事件之後。
接 , 特定物體出現的次序相連。常用「一…接一…」。
接生 , 協助即將生產的人或動物，使其胎兒順利離開母體。
接著 , 表兩物體在空間上的連續。
接著 , 表緊跟著前述動作或事件。
接觸 , 比喻主動和後述對象往來或產生關係。
接觸 , 特定物體和其他物體相觸碰。
接 , 身體特定部位與他人身體部位相觸碰。
接近 , 位置接近後述地方。
接近 , 前述事件接近後述狀態。
接近 , 向後述對象靠近以縮短彼此間的距離。
接近 , 形容關係密切的。
接近 , 時間接近後述時點。
接近 , 比喻接觸後述對象以增進彼此間的連結。
接近 , 比喻與前述對象有多個共同點。
接近 , 表接近後述數量。
接 , 透過特定管道獲得訊息。
接連 , 兩物體在空間上相連。
接 , 連接兩個以上的動態影像或音樂。
接連 , 表同一事件在後述時段中持續發生。
接連 , 表類似事件緊接著發生。
接過來 , 以手接受他人給予的物品。
接過來 , 使兩個以上的特定對象產生連結，建立流通的管道。
接過來 , 將前述對象從原來的地方帶到自己這邊。
接過來 , 比喻承接可以被傳承的責任。
接過來 , 轉接影像或聲音的訊號。
控制 , 掌握控制特定事件。
控 , 將特定容器中混有其他物質的水瀝出。
控 , 掌握控制特定事件。
控 , 提出特定對象的違法行為請求司法機關採取法律行動。
控 , 普通名詞。接尾詞。對前述事件成癮的特質。
推 , 以推動的方式使特定液狀物質均勻地分佈在特定物體的表面上。
推估 , 根據情況對事件做大概的推斷。
推出 , 讓大眾知道並推薦後述對象。
推動 , 對特定物體施力，使其前進。
推動 , 比喻促進事件進行。
推 , 反主事者身體方向施力而使後述對象順著施力方向移動。
推展 , 推行發展。
推崇 , 給予高度評價。
推廣 , 讓大眾知道並推行特定對象。
推 , 從時間參考點開始計算。
推 , 把焦距調近。
推斷 , 事件名詞。根據已經知道的事實所斷定的結論。
推斷 , 根據已經知道的事實來論定後述的結論。
推 , 根據前述訊息來判斷並得知後述結論。
推 , 比喻介紹後述對象的優點讓大眾知道。
推 , 比喻使事件發展到後述狀態。
推 , 比喻公布並推銷後述對象。
推 , 比喻將預定的時間往後移。
推 , 比喻拒絕接受後述對象。
推 , 比喻眾人同意讓後述對象擔任特定職務。
推 , 比喻贊成他人所發表的言論。
推 , 比喻逃避責任或義務。
推派 , 從群體中選出來做代表。
推測 , 普通名詞。根據已經知道的事實所提出來的合理假設。
推測 , 根據已經知道的事實來提出合理的假設。
推 , 演奏弦樂器時手指按住弦向掌心施力，使音產生由高到低的律動，通常用於吉他。
推 , 用工具在物體表面修剪長在該物體表面的後述對象，通常是較短的毛髮或草。
推 , 用手或特定工具在皮膚表面揉搓。
推移 , 對特定物體施力，使其前進。
推移 , 從時間參考點開始計算。
推移 , 比喻特定對象在一段長時間內產生改變轉移。
推移 , 特定對象改變本身或特定部位的位置或地點。
推 , 筋骨損傷時，用手調整身體結構，治療疾病。
推舉 , 普通名詞。舉重比賽中的一個項目。
推舉 , 眾人同意讓後述對象擔任特定職務。
推舉 , 重量訓練中以坐姿或臥姿將槓鈴往上舉。
推薦 , 提出後述對象並陳述其優點，以供選擇。
推 , 認為後述對象最符合前述描述。
推論 , 事件名詞。根據已經知道的事實所斷定的結論。
推論 , 根據已經知道的事實來論定後述的結論。
推辭 , 委婉地拒絕，不接受。
推辭 , 普通名詞。藉口。
推進 , 位置往前移動或移動距離增加。
推進 , 將特定對象推入後述地點。
推進 , 對特定物體施力，使其前進。
推進 , 比喻促進事件進行。
推進 , 比喻特定事件往更高的層次發展。
推選 , 從群體中選出來做代表。
掩 , 半關或關上特定對象，通常用於門窗。
掩 , 呈現半關或關上特定對象的狀態，通常用於門窗。
掩埋 , 比喻將前述事件隱藏在後述對象中。
掩埋 , 特定物體完全掩蓋在其他特定物體上。
掩埋 , 用特定物體覆蓋其他特定物體，使其被掩蓋。
掩 , 比喻隱藏特定情緒，使其不被他人發現。
掩 , 為使特定對象不被發覺而故意不表達。
掩 , 特定對象被其他對象遮掩住而不被看到。
掩 , 用手或手持物遮住後述對象。
掩 , 用特定方式使後述在嗅覺或視覺上會使人不舒服的負面對象不明顯。
措施 , 普通名詞。針對特定事件所採取的因應方法。
措詞 , 普通名詞。說話時選用的詞語。
措詞 , 詞語的選用。
措辭 , 普通名詞。說話時選用的詞語。
措辭 , 詞語的選用。
掰 , 用手使特定物體的一部份與主體分開。
掰 , 用手對特定對象施力，使其改變原有的位置。
掰 , 編造出沒有根據、不符事實的話或事物。
掰 , 計算用手使特定物體與主體分開的部分的單位。
掰 , 離開人或地時說的招呼語或客套話。
揀 , 以手或手持物品從低處拿起東西。
揀 , 選取、挑選。
揉 , 演奏弦樂器時以手指按壓弦並來回抖動。
揉 , 用手壓在皮膚表面反覆來回摩擦。
揉 , 用手對後述物體施壓並反覆來回摩擦。
揍 , 用手或手持物打後述對象，使其感到疼痛或受到傷害。
描 , 在特定文字或圖樣上，依照其輪廓寫出或畫出一樣的文字或圖樣。
描 , 在顏色淡或需要修飾的線條上反覆塗抹。
描 , 比喻以過多的言語來陳述事件以企圖掩飾真相。常用「越描越-…」。
描 , 用金、銀粉或其他類似材料，在器物上做出線條圖案等裝飾。
描繪 , 依照特定物體的形象，利用線條、色彩在平面上做出特定形象。
描繪 , 喻將特定對象的性質描述出來。
描述 , 將特定對象的性質或過程記錄下來或說出來。
描述 , 普通名詞。將特定對象的性質或過程所記錄下來或說出來的內容。
提交 , 往上正式地提出。
提 , 以化學方法將特定物質由物體中取出。
提供 , 所有權人將特定對象給他人使用。
提倡 , 指出事情的優點鼓勵大眾實行。
提出 , 以化學方法將特定物質由物體中取出。
提出 , 將後述對象交給上級或有權的人。
提出 , 將文件列入正式紀錄，進入法律程序。
提出 , 從帳戶中領出金錢。
提出 , 最先發現並公開後述理論或學說。
提出 , 發表後述想法或提案。
提出 , 經特定程序將犯人由監獄或看守所帶出。
提到 , 陳述時指涉到後述事件。
提前 , 將預定的時間往前移。
提升 , 使物體所處的位置離地面的距離變大。
提升 , 使特定對象往更好的方向發展。
提及 , 陳述時指涉到後述事件。
提名 , 作者在作品上簽名。
提名 , 在選舉中，政黨或政府機構經過特定程序選出正式候選人。
提名 , 在選舉或評選前，從有意參加者中提出候選人供參考。
提名 , 普通名詞。在選舉中，政黨或政府機構經過特定程序對候選人的認定。
提名 , 替作品命名並將該名稱寫在作品上。
提 , 增強後述精神特質。
提 , 將後述對象交給上級或有權的人。
提 , 將文件列入正式紀錄，進入法律程序。
提 , 專有名詞。姓。
提撥 , 從經費中規劃一部份作為特定的用途。
提早 , 將預定的時間往前移。
提昇 , 使物體所處的位置離地面的距離變大。
提昇 , 使特定對象往更好的方向發展。
提 , 普通名詞。接尾詞。一端略呈半球形的有柄器具，用來舀取流體食物。
提 , 普通名詞。書寫筆畫的一種，由左向右上斜的下鈍上尖的筆畫。
提 , 最先發現並公開後述理論或學說。
提 , 比喻改變事件預定執行的時間。
提 , 特定身體部位由下往上運動。
提 , 用手以懸空的方式攜帶物體。
提 , 發表後述想法或提案。
提神 , 藉由特定事物使人振作精神。
提 , 經特定程序將犯人由監獄或看守所帶出。
提 , 經過特定程序向特定對象取得屬於主事者所擁有的金錢或物品。
提 , 計算成提液體的單位。
提請 , 向上級提出申請。
提議 , 提出討論議題。
提議 , 普通名詞。討論時所提出的議題。
提起 , 四肢或軀幹靠自己的力量移動到較高的位置。
提起 , 增強後述精神特質。
提起 , 將文件列入正式紀錄，進入法律程序。
提起 , 將物品垂直升高，通常是用手。
提起 , 陳述時指涉到後述事件。
提醒 , 告訴後述對象，使其注意。
提 , 陳述時指涉到後述事件。
提高 , 使數量或數目增加。
提高 , 數量或數目增加。
提高 , 比喻使後述事件的程度增加。
提高 , 比喻特定事件的程度增加。
插 , 利用條狀物或片狀物的一端破壞特定物體的表面並進入該物體的內部。
插 , 將條狀物或片狀物的一端放進特定空間。
插 , 手肘彎曲，將手放在腰間。常與「腰」連用。
插 , 比喻介入特定事件的進行。
插 , 比喻加入他人的談話使原本的談話中斷。
插 , 比喻在原本排定的內容中加入新的內容。
插 , 比喻隨便進入隊伍中。
插 , 特定物體以類似鑽洞的動作進入特定空間。
揖 , 專有名詞。姓。
揖 , 對人低頭拱手行禮。
揖 , 普通名詞。低頭行禮的一種拱手姿勢。
揚 , 使聲音變得高而大。
揚 , 向上飄起擺動。
揚 , 地方詞。中國城市名，為文化名城，位於江蘇北部，長江下游北岸，北臨淮河。「揚州」的簡省。
揚 , 專有名詞。姓。
揚 , 搖動、振動手臂或手持之物。
揚 , 普通名詞。揚州的文化。
揚 , 比喻價格上升。
揚 , 比喻公開稱讚或給予特定對象高度評價。
揚 , 比喻特定消息或名聲傳播出去。
揚 , 比喻精神興奮充滿活力。
揚 , 比喻音樂聲在特定空間中傳送。
揚 , 身體特定部位靠自己的力量移動到較高的位置。
換 , 以交換的方式得到特定對象。
換 , 以接近等值的物品或貨幣取代。
換 , 以新的同類對象替代原本的對象。
換取 , 以交換的方式得到後述對象。
換句話說 , 句副詞。表以另一種說法來表示。
換 , 從一個交通工具換到另一個交通工具。
換成 , 以接近等值的物品或貨幣取代。
換成 , 以新的同類對象替代原本的對象。
換成 , 生物成長過程中，特定有機組織自然代謝。
換 , 生物成長過程中，特定有機組織自然代謝。
換言之 , 句副詞。表以另一種說法來表示。
握 , 五指向掌心彎曲合攏。
握 , 比喻擁有控制權。
握 , 用手掌固定或拿物品。
揭 , 主動察覺原來未知的後述對象。
揭 , 在正式場合中將遮蔽在後述物品上的布拿開，通常象徵特定事件的開始。
揭 , 將黏貼或緊密附著在物體上的片狀物取下。
揭 , 專有名詞。姓。
揭 , 拿開用來覆蓋或遮擋的物品以顯露內容物。
揭 , 比喻以手將後述具有指標性的代表物由低處拿高至眾人視線可及的地方，通常在比喻用法中與「旗」連用。
揭 , 比喻公開宣告特定事件。
揭 , 比喻將他人不想被人知道的事物說出，通常為負面。
揮 , 以揮的方式使氣體往特定方向移動。
揮 , 帶頭發號司令、指示並率軍出擊。「指揮」的簡省。
揮手 , 舉起並搖動手臂表示打招呼。
揮手 , 舉起並搖動手臂表示拒絕或否定。
揮手 , 舉起並搖動手臂表示道別。
揮 , 搖動、振動手臂或手持之物。
揮 , 比喻將令人不悅的特定想法從心中除去。
援 , 以他人的言行或特定事物作為依據來進行特定事件。
援 , 拉住後述細長物以向上攀爬。
援 , 用手將物品固定在手上。
援 , 給予特定對象協助以完成後述事件。
揹 , 將有帶子的特定物品掛在軀幹上，以方便攜帶。
揹 , 比喻承受責任或義務。
揹 , 用背承載後述對象的重量。
損壞 , 使特定對象受到損傷而無法自動復原。
損失 , 因損壞或不見了而失去原有價值。
損失 , 普通名詞。損壞失去的物品。
搏 , 和後述對象進行肢體衝突，通常會扭打在一起。
搏 , 擲筊向神明詢問問題。常與「杯」連用。
搏 , 比喻不顧一切進行困難的特定事件。常用「…一搏」。
搏 , 比喻經過努力的過程得到後述結果。
搓 , 將油膏、粉末或液體塗抹在物體表面。
搓 , 用手壓在皮膚表面反覆來回摩擦。
搓 , 用手對後述物體施壓並反覆來回摩擦。
搔 , 用指頭、爪子或類似的工具在身體特定部位表面的小範圍內輕輕地重複劃。
搖 , 使特定對象依固定路徑來回擺動。
搖 , 來回移動或晃動。
搖 , 專有名詞。姓。
搖 , 形容比喻特定物體容易左右晃動。
搖搖晃晃 , 搖擺不定，無法維持固定的位置。
搖 , 搖槳使船前進。
搖擺人 , 普通名詞。兼能擔任得分後衛及小前鋒的球員。
搖擺 , 前述事件的發展方向不穩定。
搖擺 , 前述物體維持固定中心軸在左右兩端間來回移動。
搖擺 , 囂張。
搖晃 , 以手使物體不規律地來回搖動。
搖晃 , 物體不規律地來回搖動。
搖 , 比喻特定對象改變。常與「不」連用。
搖 , 比喻跳舞。
搖 , 比喻開出中獎號碼或中獎名單。「搖獎」的簡省。
搗 , 以手或手持物敲打特定物品，通常是衣物。
搗 , 使特定對象受到損傷而無法自動復原。
搗 , 擾亂特定事件的進行。
搗 , 用棒狀物的一端反覆撞擊特定物體，使其成粉狀或泥狀。
搗 , 破壞特定組織的基地。
搗蛋 , 以惡作劇的方式製造麻煩。
搜集 , 搜尋保存。
搞不好 , 表有可能性。
搥 , 以棒狀物或拳頭敲擊特定物體。
搥 , 普通名詞。以槌子為形象製成的人造物。常用接尾詞。
搥 , 普通名詞。敲打用的短棒，通常一端較大且堅硬。常用接尾詞。
搬 , 將較重或較大的物體移到其他位置。
搬 , 比喻以特定對象威脅以達到目的。常用「搬…壓…」。
搬 , 比喻在他人背後胡亂評論以引起糾紛，常與「是非」連用。
搬 , 比喻將原建築物的所有物品移到另一建築物。
搬 , 比喻找後述對象幫忙。
搭 , 以特定副食搭配主食食用。
搭 , 兩物體在空間上相連。
搭 , 利用特定時機獲得競爭上的優勢。
搭 , 在競爭中因失敗而給贏的一方代價。
搭 , 將兩個以上的特定對象組合在一起。
搭 , 將特定材料架起，組合成特定傢俱或建築物。
搭 , 專有名詞。姓。
搭 , 形容兩個特定對象間的搭配很協調。
搭 , 搭乘有座位的交通工具。
搭 , 搭乘有座位的遊樂設施。
搭 , 擬聲詞。模擬水滴落的聲音。
搭 , 比喻以後述對象為媒介進行特定事件。
搭 , 比喻建立特定對象間的關係。
搭 , 特定對象將肢體放在另一肢體上。
搭 , 特定物體架在另一物體上。
搭 , 組合之內各對象互相合作。
搭 , 藉著後述對象的動力移動。
搭 , 通訊線路接通。
搭配 , 以特定副食搭配主食食用。
搭配 , 依照特定標準選擇並調配原料。
搭配 , 將兩個以上的特定對象組合在一起。
搭配 , 將特定裝備附在產品上。
搭配 , 形容兩個特定對象間的搭配很協調。
搭配 , 產品附有後述裝備。
搭配 , 組合之內各對象互相合作。
搭配 , 選擇符合特定規格的零件。
搶 , 以暴力、威脅的手段取得後述原來不屬於自己的財物。
搶 , 向主事者身體的方向施力而使後述對象順著施力方向移動。
搶 , 在有競爭的環境中急促的進行後述事件。
搶 , 形容很容易引起他人注意的。
搶 , 很用力地碰到或碰在一起。
搶 , 比喻前述對象到後述對象所建立或擁有的領域中競爭。
搶 , 比喻在表演時所受到的注意力超過其他表演者。
搶 , 與競爭對象爭著取得後述對象。
搶 , 表和其他對象競爭以取得做特定事件的機會。
搶 , 表想辦法在期限前完成特定事件。
搽 , 將油膏、粉末或液體塗抹在物體表面。
搾 , 擠壓特定物體以取其汁液。
搾 , 比喻以特定手段從特定對象取得大量好處。
摑 , 用手掌打後述對象的臉。
摔 , 以手用力關門或關窗。
摔 , 使特定對象失去平衡而到下。
摔 , 使特定物體重重地落下。
摔倒 , 身體失去平衡而改變姿態。
摔 , 大幅度移動手臂以手掌打特定對象的臉。
摔 , 普通名詞。柔道、摔角或武術中使對手跌倒的一種技巧動作。常用接尾詞。
摔 , 柔道、摔角或武術中以摔的方式讓對手跌倒。
摔 , 比喻指數快速且大量地下跌。
摔 , 比喻擺脫忽略特定對象。
摔 , 比喻飛行器失事從空中墜落。
摔 , 物體因受重力影響而落到低處。
摔 , 身體失去平衡而改變姿態。
摔 , 駕駛員使飛行器失事從空中墜落。
摘下來 , 用手將位於比參考點高的物體從特定對象上取下。
摘 , 折斷植物特定部分與母體間的連結，以取得該部分。
摘 , 普通名詞。接尾詞。從特定內容中選取出的一部份。
摘 , 比喻從內容中選取一部份。
摘 , 用手將物體由主體上取下。
摘 , 給予特定對象負面評價。
